"How to order","So bestellen Sie bei uns"
"Click here to get the %s details on your Revocation Right</a>","Hier finden Sie die %s Einzelheiten zu Ihrem Widerrufsrecht</a>"
"Shipping cost information","Versandkosten Informationen"
"Click here to get the shipping cost information","Hier finden Sie Informationen zu den Versandkosten."
"More information on this payment method can be found %s","Einzelheiten der Zahlungsart finden Sie %s"
"here","hier"
"Bank account holder","Inhaber"
"Bank account number","Kto-Nr."
"Bank sort code","BLZ"
"Bank name","Bankname"
"Incl. VAT","Inkl. MwSt."
"Excl. VAT","Zzgl. MwSt."
"Incl. %1$s%% VAT","inkl. %1$s%% MwSt."
"Excl. %1$s%% VAT","zzgl. %1$s%% MwSt."
"Excl. <a href=""%1$s"">shipping</a>","zzgl. <a href=""%1$s"">Versandkosten</a>"
"Incl. <a href=""%1$s"">shipping</a>","inkl. <a href=""%1$s"">Versandkosten</a>"
"Shipping costs (CMS page)","Versandkosten (CMS-Seite)"
"Order information (CMS page)","Bestellinfos (CMS-Seite)"
"Revocation terms (CMS page)","Widerrufinfos (CMS-Seite)"
"Delivery information (CMS page)","Lieferinfos (CMS-Seite)"
"Data protection information under the e-mail field","Datenschutzhinweis unter dem E-Mail Feld"
"Legal info notice about possible sending of advertisement to the specified e-mail address","Rechtlicher Hinweis auf möglichen Werbungsversand auf eingegebene E-Mail Adresse"
"Show the weight info","Gewicht-Info anzeigen"
"Show the weight information behind the product price","Gewicht Information hinter dem Produktpreis anzeigen"
"Enable info notice for e-mail field","Info-Notiz für E-Mail Feld aktivieren"
"Enable or disable legal information about using the e-mail address for possible sending of advertisement","Information zur Nutzung der E-Mail Adresse für evtl. Werbungsversand aktiveren oder deaktiveren"
"Market Ready Germany Logo","Market Ready Germany Logo"
"Congratulations: <span style=\"color:#000000;\">Market Ready Germany</span><br /> has adapted your shop to the market requirements<br /> in Germany.","Herzlichen Glückwunsch: <span style=\"color:#000000;\">Market Ready Germany</span><br /> hat Ihren Shop an die Markterfordernisse<br /> in Deutschland angepasst."
"<span style=\"font-weight:bold;\">Market Ready Germany</span> combines the legal expertise of Trusted Shops with the technical innovations of Enterprise Partners Magento Symmetrics. Thanks to the kind support of our sponsors we can offer the module for free to all users of Magento. We wish you much success!","<span style=\"font-weight:bold;\">Market Ready Germany</span> vereint das rechtliche Know-how von Trusted Shops mit den technischen Innovationen von Magento Enterprise Partner symmetrics. Dank der freundlichen Unterstützung durch unsere Sponsoren können wir das Modul allen Nutzern von Magento kostenlos anbieten. Wir wünschen viel Erfolg!"
"Symmetrics gmbh - Magento Partner, Certified Developer","symmetrics gmbh - Magento Partner, Certified Developer"
"The next step:<br /> The seal of approval for your Magento store.","Der nächste Schritt:<br />Ihr Shop mit Gütesiegel"
"Symmetrics implements e-commerce solutions based on Magento<br /> Enterprise Edition and<br /> individual interfaces and enhancements.","symmetrics realisiert E-Commerce-Lösungen<br /> auf Basis der Magento Enterprise Edition sowie<br /> individuelle Schnittstellen und Erweiterungen."
"As a strategic Magento partner<br /> and Certified Developer Symmetrics<br /> is in a close dialogue with Varien<br /> for the success of customers and partners.","Als strategischer Magento Partner<br /> und Certified Developer steht symmetrics<br /> im engen Dialog mit Varien<br /> für den Erfolg von Kunden und Partnern."
"Find out now!","Informieren Sie sich jetzt!"
"The solutions from Trusted Shops<br /> certainly lead to more conversion.","Nutzen Sie die Vertrauenslösungen von<br/>Trusted Shops in Ihrem Magento-Shop."
"Increase the conversion rate","Steigern Sie die Konversionsrate"
"Offer a reas buyer protection","Bieten Sie echten Käuferschutz"
"Reduce your risk","Senken Sie Ihr Abmahnrisiko"
"Trusted Shops - Certified Software","Trusted Shops - Certified Software"
"As already more than 10,000<br /> successful online retailers!","Wie bereits mehr als 10.000<br /> erfolgreiche Online Händler!"
"Use special conditions now!","Sonderkonditionen jetzt nutzen!"
"Market Ready Germany sponsored by","Market Ready Germany sponsored by"
"Use special conditions!","Sonderkonditionen nutzen!"
"Show shipping costs info","Versandkosten-Info anzeigen"    
"Show the delivery information","Lieferzeit beim Preis anzeigen"
"Show shipping costs information behind the product price","Versandkosten Information hinter dem Produktpreis anzeigen"
"incl. Shipping costs","inkl. Versandkosten"
"excl. Shipping costs","zzgl. Versandkosten"
"Show tax info","Steuerinformationen anzeigen"
"Show tax percentage","Steuersatz (in Prozent) anzeigen"
"Show percentage in tax info.","Prozentsatz in Steuerinformation anzeigen."
"If set to ""no"", the IP adress of the customer will be deleted after checkout.","Wenn ""nein"", wird die IP des Kunden nach dem Checkout gelöscht."
"Privacy","Datenschutz"
"Save IP address in order","IP Adresse in der Bestellung speichern"       

"Cloud Computing for Magento - The Future of E-Commerce has just begun!","Cloud Computing für Magento - Die Zukunft von E-Commerce hat begonnen!"
"automatic scalable and flexible infrastructure","automatisch skalierbare und flexible Infrastruktur"
"professional and optimized environment for Magento","professionelle und optimierte Umgebung für Magento"
"high availability and performance","hohe Verfügbarkeit und Performance"
"on-demand scalability (horizontal and vertical)","on-demand Skalierung (horizontal und vertikal)"
"pay-per-use payment","nutzungsabhängige Abrechnung"
"individual infrastructure-solutions for your online-shop","individuelle Infrastruktur-Lösungen für Ihren Online-Shop"     
"Ask for your individual offer and test our Cloud Computing Cluster - free standard installation for MRG-user!","Fragen Sie Ihr individuelles Angebot an und testen Sie unsere Cloud Computing Cluster - Für MRG-Nutzer keine Einrichtungsgebühr bei Standardinstallationen!"
